0.17,-0.31,-10.13;0.0000,0.0000,0.0000;20.3750,42.8750,36.6875
0.19,-0.34,-9.95;1.1111,1.1111,1.1111;21.0625,44.0625,35.0625
0.21,-0.34,-9.84;0.0000,1.1111,0.0000;21.5000,42.8750,35.0625
0.12,-0.24,-10.07;0.0000,0.0000,-1.1111;21.0625,44.0625,36.2500
0.19,-0.33,-9.84;1.1111,1.1111,-1.1111;19.6875,43.2500,36.6875
0.19,-0.34,-9.84;-1.1111,1.1111,-3.3333;21.5000,43.2500,36.2500
0.18,-0.34,-9.73;1.1111,0.0000,-3.3333;21.8750,42.1875,35.5000
0.16,-0.33,-9.84;3.3333,-1.1111,0.0000;21.8750,43.2500,35.5000
0.2,-0.33,-9.95;-1.1111,-1.1111,-2.2222;21.5000,43.2500,37.0625
0.15,-0.33,-10.11;0.0000,3.3333,-5.5556;19.2500,43.2500,36.2500
0.17,-0.33,-9.96;2.2222,2.2222,0.0000;21.5000,43.2500,36.6875
0.18,-0.34,-9.85;1.1111,0.0000,-2.2222;20.3750,42.8750,36.2500
0.2,-0.33,-9.97;2.2222,-1.1111,-1.1111;21.5000,42.8750,36.2500
0.12,-0.28,-10.05;3.3333,3.3333,1.1111;19.6875,43.6875,35.8750
0.22,-0.35,-9.86;1.1111,1.1111,1.1111;21.5000,44.3750,35.8750
0.18,-0.36,-9.92;1.1111,3.3333,-2.2222;21.1875,42.5625,35.0625
0.2,-0.33,-9.85;-1.1111,1.1111,1.1111;20.3750,42.8750,35.8750
0.14,-0.29,-9.78;-1.1111,2.2222,0.0000;20.7500,43.6875,37.0625
0.2,-0.36,-9.95;2.2222,1.1111,0.0000;21.5000,43.2500,35.8750
0.2,-0.34,-9.93;2.2222,0.0000,-1.1111;22.2500,43.6875,35.0625
0.16,-0.34,-9.75;1.1111,2.2222,0.0000;21.1875,42.5625,36.7500
0.18,-0.33,-9.83;-2.2222,2.2222,-3.3333;22.5625,42.5625,37.0625
0.18,-0.37,-9.96;1.1111,1.1111,-1.1111;21.8750,43.2500,36.6875
0.15,-0.28,-10.03;0.0000,1.1111,0.0000;22.2500,43.2500,34.7500
0.2,-0.34,-9.81;2.2222,2.2222,-2.2222;21.8750,43.6875,36.2500
0.19,-0.35,-9.84;2.2222,1.1111,-1.1111;20.7500,43.2500,36.2500
0.17,-0.33,-9.89;1.1111,0.0000,-2.2222;21.8750,43.2500,35.5625
0.18,-0.36,-9.95;1.1111,1.1111,-4.4444;21.1875,43.2500,35.8750
0.14,-0.28,-9.69;0.0000,-1.1111,-6.6667;19.6875,43.6875,35.8750
0.19,-0.33,-9.88;0.0000,1.1111,-1.1111;21.5000,42.5625,36.2500
0.18,-0.31,-9.86;0.0000,2.2222,-3.3333;21.1875,43.2500,36.3750
0.21,-0.34,-9.8;1.1111,2.2222,0.0000;20.7500,43.2500,35.5625
0.18,-0.35,-9.81;2.2222,4.4444,-3.3333;21.8750,43.2500,35.5625
0.3,-0.22,-10.12;1.1111,5.5556,-6.6667;22.2500,43.2500,35.5625
0.21,-0.33,-9.92;1.1111,-1.1111,-2.2222;21.1875,42.8750,35.8750
0.18,-0.35,-9.9;2.2222,3.3333,-4.4444;19.6875,43.2500,36.2500
0.11,-0.26,-9.97;1.1111,0.0000,0.0000;21.5000,43.2500,36.3750
0.19,-0.34,-9.92;3.3333,1.1111,-3.3333;19.6875,42.8750,35.0625
0.18,-0.32,-9.75;3.3333,1.1111,0.0000;21.8750,44.0625,36.2500
0.2,-0.35,-9.97;-1.1111,2.2222,-4.4444;20.7500,44.0625,35.5625
0.2,-0.34,-9.98;2.2222,1.1111,-2.2222;21.1875,43.2500,35.5625
0.18,-0.33,-9.92;0.0000,1.1111,-2.2222;20.3750,42.8750,36.7500
0.17,-0.33,-9.86;-1.1111,0.0000,-3.3333;21.8750,42.8750,35.8750
0.14,-0.3,-9.93;-2.2222,1.1111,-2.2222;21.8750,43.2500,35.1875
0.18,-0.32,-9.94;2.2222,2.2222,0.0000;22.2500,43.2500,36.7500
0.17,-0.34,-9.88;2.2222,0.0000,1.1111;20.7500,42.5625,36.3750
0.22,-0.34,-9.92;-1.1111,-1.1111,0.0000;20.3750,42.5625,35.5625
0.21,-0.33,-9.96;3.3333,2.2222,-2.2222;21.5000,43.2500,34.3750
0.2,-0.33,-9.83;2.2222,-1.1111,0.0000;21.8750,43.2500,35.1875
0.2,-0.36,-9.95;0.0000,0.0000,1.1111;20.7500,43.6875,35.8750
0.14,-0.3,-9.64;-2.2222,2.2222,0.0000;19.2500,43.2500,36.7500
0.16,-0.34,-9.8;2.2222,1.1111,0.0000;21.5000,42.8750,35.1875
0.12,-0.29,-10.0;3.3333,4.4444,2.2222;21.8750,43.2500,35.8750
0.16,-0.33,-10.41;1.1111,5.5556,-2.2222;20.3750,43.2500,36.0000
0.19,-0.34,-9.85;0.0000,4.4444,-1.1111;21.1875,43.2500,36.3750
0.11,-0.24,-9.59;1.1111,1.1111,1.1111;21.8750,43.2500,35.5625
0.16,-0.33,-9.86;0.0000,4.4444,-4.4444;21.5625,43.3750,35.1875
0.2,-0.33,-9.84;1.1111,4.4444,0.0000;20.7500,44.7500,36.0000
0.18,-0.32,-9.94;1.1111,3.3333,-3.3333;20.7500,43.6875,35.5625
0.2,-0.33,-9.82;0.0000,0.0000,-1.1111;21.5625,43.0000,35.5625
0.19,-0.32,-9.75;-1.1111,2.2222,-4.4444;21.1875,43.0000,34.7500
0.16,-0.34,-10.0;5.5556,3.3333,1.1111;21.1875,43.2500,35.5625
